id,date,block,iucr,primary_type,description,location_description,year,latitude,longitude,location
10406760,2016-02-05T19:40:00.000,004XX N MICHIGAN AVE,0810,THEFT,OVER $500,SMALL RETAIL STORE,2016,41.89043914,-87.624112982,"{'latitude': '41.89043914', 'longitude': '-87.624112982', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
10406834,2016-02-07T14:45:00.000,008XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,2016,41.897895128,-87.624096605,"{'latitude': '41.897895128', 'longitude': '-87.624096605', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
10407071,2016-02-08T01:35:00.000,001XX E ERIE ST,0560,ASSAULT,SIMPLE,RESTAURANT,2016,41.894148934,-87.623601811,"{'latitude': '41.894148934', 'longitude': '-87.623601811', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
10407168,2016-02-03T00:01:00.000,006XX N MICHIGAN AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,SMALL RETAIL STORE,2016,41.894465726,-87.624241063,"{'latitude': '41.894465726', 'longitude': '-87.624241063', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
10407647,2016-02-08T11:39:00.000,007XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,2016,41.896343018,-87.624279065,"{'latitude': '41.896343018', 'longitude': '-87.624279065', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
10407818,2016-02-08T12:00:00.000,008XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,2016,41.897895128,-87.624096605,"{'latitude': '41.897895128', 'longitude': '-87.624096605', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
10407842,2016-02-08T13:00:00.000,004XX N MICHIGAN AVE,0560,ASSAULT,SIMPLE,SIDEWALK,2016,41.88946287,-87.624222942,"{'latitude': '41.88946287', 'longitude': '-87.624222942', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
10408223,2016-02-09T01:00:00.000,006XX N MICHIGAN AVE,0890,THEFT,FROM BUILDING,HOTEL/MOTEL,2016,41.894539838,-87.624243916,"{'latitude': '41.894539838', 'longitude': '-87.624243916', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
10408240,2016-02-09T01:30:00.000,001XX E DELAWARE PL,1330,CRIMINAL TRESPASS,TO LAND,HOTEL/MOTEL,2016,41.899189017,-87.625650736,"{'latitude': '41.899189017', 'longitude': '-87.625650736', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
10408499,2016-02-08T12:34:00.000,001XX E CHICAGO AVE,0870,THEFT,POCKET-PICKING,SMALL RETAIL STORE,2016,41.896714548,-87.625340136,"{'latitude': '41.896714548', 'longitude': '-87.625340136', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
